producto_id,fecha_transaccion,cantidad,entrada_salida
38,2022-12-22 04:29:12,27.04,1
58,2023-01-01 17:54:33,47.47,1
82,2023-09-22 18:13:02,23.9,1
58,2022-12-13 19:25:48,43.09,1
15,2022-07-25 00:10:31,11.04,1
43,2023-08-08 14:58:58,13.8,1
62,2024-05-13 17:05:54,46.45,0
60,2023-09-02 13:11:03,7.99,1
90,2022-11-23 06:00:52,8.17,0
99,2024-03-30 10:35:04,16.69,1
57,2023-05-16 08:59:51,38.63,0
52,2023-09-04 08:17:12,3.38,0
44,2024-07-28 08:45:13,46.27,0
85,2024-03-19 14:30:53,15.8,1
19,2024-06-01 11:14:46,12.24,0
1,2024-08-07 18:58:59,45.7,0
28,2022-11-04 17:24:38,19.7,0
87,2024-11-28 08:06:20,38.08,0
30,2025-05-03 18:35:14,27.4,1
32,2023-05-03 17:40:47,40.73,1
94,2023-01-08 12:37:24,44.31,1
22,2023-12-26 00:24:32,14.19,0
39,2025-03-10 12:23:33,27.58,0
15,2024-07-24 15:54:44,22.25,0
31,2024-01-28 06:33:08,17.79,1
62,2024-10-11 16:31:46,25.19,0
25,2023-01-08 00:44:57,10.53,1
76,2024-06-23 20:00:07,9.25,1
16,2023-03-18 01:12:16,8.2,0
87,2022-06-04 16:12:49,2.11,0
80,2023-07-28 05:47:19,8.8,1
36,2023-08-31 17:34:51,10.01,0
51,2023-02-10 21:29:14,27.15,1
35,2024-03-01 06:28:55,30.83,0
14,2023-09-26 13:27:10,38.47,1
81,2024-09-17 21:09:43,16.86,0
30,2024-01-01 14:26:29,21.52,1
41,2025-04-08 21:32:19,6.91,1
32,2022-06-21 23:32:59,7.24,0
95,2024-09-14 22:07:34,40.93,1
9,2024-11-14 01:55:45,44.57,0
6,2023-05-13 19:11:40,24.85,1
85,2025-02-23 21:23:57,19.81,1
21,2023-10-22 22:58:40,5.83,1
47,2024-09-27 03:53:43,23.01,1
98,2023-10-16 12:20:55,45.76,0
88,2023-07-07 02:16:36,12.47,1
88,2022-08-14 08:52:44,12.34,0
5,2023-07-18 08:25:28,10.81,1
13,2023-11-19 07:03:19,7.54,0
78,2024-03-16 07:02:14,2.99,0
58,2025-04-24 09:08:38,44.76,1
35,2022-11-22 07:16:09,14.34,0
44,2024-01-12 03:13:49,34.96,1
45,2023-09-03 05:09:59,31.84,1
36,2023-04-27 02:39:23,33.06,1
78,2023-01-28 19:22:07,43.41,0
1,2023-11-11 11:04:20,25.8,0
32,2023-01-12 09:54:46,7.73,1
60,2022-07-05 10:56:47,43.68,0
20,2023-04-22 04:19:57,18.35,0
88,2024-10-22 17:45:05,3.32,0
22,2024-06-30 01:19:06,7.04,1
91,2022-12-11 20:27:58,25.6,0
99,2023-04-04 17:44:31,3.71,0
65,2022-09-10 15:57:29,15.51,1
62,2022-09-26 16:36:42,28.44,0
7,2024-12-20 17:08:14,20.76,0
28,2023-06-13 22:50:11,23.27,1
34,2023-04-10 18:48:07,8.82,0
41,2024-11-13 19:58:53,43.33,1
23,2023-11-03 08:07:35,9.23,0
27,2023-07-22 08:17:12,20.47,1
9,2024-06-23 21:41:19,46.34,0
64,2023-05-27 07:27:31,38.73,0
47,2024-10-29 02:45:11,8.31,1
45,2024-11-04 09:24:58,23.7,0
7,2022-11-05 05:52:40,40.2,0
14,2024-07-14 00:45:26,4.47,1
17,2023-12-04 11:19:42,42.3,0
3,2023-08-26 18:55:44,31.82,1
3,2024-03-14 00:13:55,39.09,1
26,2023-09-10 14:56:30,42.09,0
100,2023-05-20 17:44:52,17.54,0
16,2024-12-22 12:00:08,16.12,0
6,2023-04-13 11:58:59,28.02,0
50,2024-04-01 07:51:46,4.86,1
55,2024-08-04 05:23:43,25.82,1
88,2023-04-30 03:25:48,24.13,0
66,2023-10-08 23:05:09,23.67,0
64,2023-09-16 22:27:58,33.08,0
2,2024-06-02 02:20:56,4.09,1
46,2023-09-01 03:13:28,49.15,0
37,2023-04-26 13:32:55,36.83,0
23,2024-12-29 21:10:45,41.97,0
21,2024-06-19 18:27:16,9.74,1
36,2023-04-10 00:07:54,11.28,0
81,2022-08-29 08:30:27,7.24,1
33,2024-04-22 14:07:49,24.41,0
88,2024-02-02 21:43:07,32.81,1
71,2024-03-10 08:45:14,42.34,0
83,2023-03-07 08:41:57,48.8,1
76,2025-01-11 15:49:18,45.69,0
81,2022-10-07 14:57:54,41.39,1
39,2023-06-19 12:36:20,5.98,0
31,2025-02-15 15:41:23,22.52,0
86,2022-07-31 07:46:20,18.43,0
84,2023-04-16 06:52:51,3.41,1
96,2023-02-01 08:28:53,35.77,1
98,2022-11-22 15:25:09,27.88,0
16,2022-09-13 11:18:33,17.47,0
9,2023-09-07 04:29:39,18.17,1
82,2022-06-06 20:10:39,43.33,1
40,2023-09-12 23:28:31,33.39,0
87,2022-06-06 17:10:17,32.95,0
63,2023-11-16 00:34:18,7.64,1
20,2025-01-01 06:14:51,43.58,1
26,2024-11-20 14:38:23,11.27,1
98,2024-03-10 07:15:16,10.02,0
82,2024-12-19 22:21:49,16.75,0
24,2024-02-24 19:38:29,34.95,0
87,2024-11-07 14:13:06,44.48,1
47,2024-03-19 12:50:28,25.79,1
52,2024-02-20 04:05:56,38.14,1
4,2024-08-22 08:52:05,21.7,1
87,2024-06-21 08:19:35,45.16,1
95,2022-08-08 20:09:47,44.27,1
61,2024-05-05 23:08:54,39.69,1
59,2025-03-24 11:54:51,23.36,1
90,2024-02-05 02:02:27,36.18,1
70,2024-05-17 21:20:00,17.61,0
88,2024-01-12 11:14:06,3.14,1
10,2023-05-04 12:06:06,25.07,0
98,2022-12-05 22:34:39,46.31,0
79,2025-03-02 23:45:56,31.92,0
30,2022-11-30 04:51:17,41.98,1
83,2023-05-18 15:26:22,22.12,1
100,2022-06-26 08:11:31,40.35,0
34,2023-07-04 02:03:10,16.18,0
51,2022-07-14 19:16:29,14.03,1
83,2023-01-01 13:20:03,20.53,0
75,2022-06-27 09:19:17,4.4,0
2,2022-12-26 07:40:08,26.16,1
23,2024-04-03 17:26:37,43.68,0
89,2022-07-01 12:32:12,14.27,0
48,2024-10-20 05:17:38,6.87,0
67,2024-06-19 19:55:11,17.34,0
40,2022-09-19 00:30:55,1.23,1
70,2023-02-09 23:01:08,15.12,1
52,2024-03-19 05:11:38,21.26,1
2,2023-05-30 22:33:42,4.97,0
25,2024-11-11 12:15:08,18.3,1
20,2022-07-12 05:43:35,32.03,0
35,2022-11-13 18:49:04,22.53,1
94,2024-02-16 07:33:01,5.77,0
23,2024-05-10 00:22:04,2.32,0
25,2022-08-06 17:51:22,44.96,1
23,2022-05-23 00:19:37,27.85,0
73,2023-01-02 22:17:11,4.24,1
39,2024-08-16 20:36:45,11.24,1
20,2023-03-02 03:38:27,16.89,0
27,2024-02-07 00:50:20,41.31,0
60,2024-02-29 17:49:26,12.63,0
99,2023-07-12 12:51:06,19.92,1
13,2024-12-24 16:58:59,17.96,0
37,2023-07-27 04:13:09,47.47,1
23,2022-10-28 15:25:19,41.14,0
56,2024-07-02 08:08:04,24.42,0
40,2024-01-11 05:37:00,24.79,0
68,2023-08-22 18:38:20,47.92,0
81,2023-12-20 19:38:20,45.93,0
37,2024-01-27 07:50:55,8.35,1
9,2023-11-16 16:55:00,20.5,0
15,2024-01-25 02:08:35,24.96,0
35,2022-10-18 20:21:39,48.39,0
68,2024-11-06 23:00:04,13.44,0
60,2025-01-23 21:39:17,21.57,1
69,2024-11-26 10:18:36,48.87,0
29,2022-11-18 07:57:53,33.35,0
5,2022-05-31 00:19:31,5.36,1
45,2023-09-18 23:58:30,3.14,0
27,2025-03-24 07:07:26,49.65,1
88,2025-03-16 14:19:26,35.06,0
8,2023-11-09 00:34:32,8.76,0
100,2023-08-23 09:17:38,12.53,0
11,2023-12-09 22:07:47,10.29,0
87,2024-09-06 13:47:46,17.84,0
91,2024-06-19 12:19:13,34.67,1
63,2023-10-23 08:47:47,1.32,0
100,2024-04-05 03:24:08,31.66,0
78,2025-03-30 06:48:02,7.7,1
2,2023-10-07 20:36:56,22.12,0
50,2023-11-12 07:19:16,33.57,0
8,2022-06-01 06:48:33,26.87,1
8,2025-03-25 15:02:33,19.1,0
4,2023-02-18 20:16:30,38.89,0
77,2023-10-03 23:42:18,45.22,0
17,2023-07-11 12:22:50,9.08,0
57,2023-08-01 08:09:59,4.62,1
7,2023-08-17 04:01:36,49.07,0
24,2024-02-26 17:58:56,29.34,0
7,2024-02-09 23:40:47,39.77,0
89,2023-03-23 14:57:18,26.34,1
98,2024-04-19 22:33:20,16.55,1
80,2023-01-10 21:03:28,46.48,1
76,2023-05-30 03:45:33,29.07,0
13,2024-10-23 20:34:42,32.9,0
20,2023-08-20 15:20:26,35.41,1
1,2023-03-09 23:38:55,31.66,1
83,2022-11-26 15:49:18,2.73,1
9,2024-12-23 21:04:31,6.13,1
45,2023-03-23 19:27:57,27.91,0
71,2023-12-25 17:11:01,8.37,0
18,2025-03-16 17:06:21,2.29,1
47,2022-11-09 17:58:57,1.29,0
28,2023-06-15 16:07:14,44.09,1
73,2024-10-08 02:02:14,48.61,1
34,2024-01-18 02:49:18,17.64,1
63,2024-03-19 19:23:51,9.9,0
21,2024-12-15 09:46:33,24.87,1
60,2023-05-16 18:13:10,38.84,0
35,2025-03-15 12:14:44,15.34,0
67,2025-04-08 01:10:22,16.33,0
87,2024-07-31 10:41:09,34.05,0
35,2024-12-18 15:12:25,46.19,1
82,2023-11-29 02:38:48,46.24,0
96,2025-03-31 06:02:50,45.56,0
7,2025-02-24 10:38:56,27.28,0
51,2023-03-10 22:54:19,27.16,1
63,2022-09-14 15:37:51,5.26,0
3,2024-03-21 09:00:02,44.04,0
100,2022-07-14 22:10:49,23.98,0
6,2022-05-30 13:48:04,33.48,0
66,2024-08-17 17:53:09,36.14,0
70,2022-07-27 08:34:25,22.91,1
7,2023-07-16 03:04:43,8.67,0
39,2023-11-09 23:01:49,49.54,0
84,2024-06-27 00:20:59,2.53,1
